Symbols	EntrezID	EnsemblID	Ensembl_version_id	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
AQP4-AS1	147429	ENSG00000260372	ENSG00000260372.7	8	15	7	12	6	20,4045320899975	6,13646277835776	0,67001276356204	9,15872519462767	5,25139868053189e-20	1,41118211042593e-18	ENSG00000260372.7	AQP4-AS1	Up
AC110079.1	NA	ENSG00000260404	ENSG00000260404.3	8	24	1466	1390	1128	69,0356447007	-0,589882794210356	0,613553460383073	-0,961420368882055	0,336340846741608	0,483850075164018	ENSG00000260404.3	AC110079.1	NC
MT1L	4500	ENSG00000260549	ENSG00000260549.1	10	48	545	112	299	72,3261913059722	2,4308114244825	0,901418737388398	2,69665065042366	0,00700407077504918	0,0192869877702072	ENSG00000260549.1	MT1L	Up
ERVK13-1	NA	ENSG00000260565	ENSG00000260565.7	52	20	3324	3035	2881	155,948429738626	-0,671577019089015	0,32553589481435	-2,06298915046529	0,0391136590020449	0,0812901625315122	ENSG00000260565.7	ERVK13-1	NC
AC024270.4	NA	ENSG00000260608	ENSG00000260608.1	35	0	2	4	0	34,1415635556913	8,90788178792526	1,98579240558658	4,48580715832376	7,2638418336786e-06	4,03404990287839e-05	ENSG00000260608.1	AC024270.4	Up
SNAI3-AS1	197187	ENSG00000260630	ENSG00000260630.7	56	2	306	285	355	51,9465985886511	1,93159159663531	1,1846798950046	1,63047554430542	0,103001029798849	0,181382383569435	ENSG00000260630.7	SNAI3-AS1	NC
AC009093.3	NA	ENSG00000260908	ENSG00000260908.1	0	143	4078	7258	16052	394,12261460549	-1,33265396582994	1,78114463334135	-0,748200870880396	0,454339005799939	0,615074303947549	ENSG00000260908.1	AC009093.3	NC
CCPG1	9236	ENSG00000260916	ENSG00000260916.7	10	26	2851	3813	3129	124,980549010605	-1,75385517481663	0,428586689571666	-4,09218302269129	4,2733115614186e-05	0,000204150337660838	ENSG00000260916.7	CCPG1	Down
AC119674.1	NA	ENSG00000260971	ENSG00000260971.4	0	24	5	12	9	25,8817026736239	6,32347173208143	1,47776713023134	4,27907185287814	1,87674275038121e-05	9,65220470040555e-05	ENSG00000260971.4	AC119674.1	Up
WFDC21P	645638	ENSG00000261040	ENSG00000261040.7	37	37	464	273	57	83,6479835462892	3,00896304677282	0,680945165684461	4,41880374280698	9,92487211759831e-06	5,3852827053036e-05	ENSG00000261040.7	WFDC21P	Up
SPINT1-AS1	102724362	ENSG00000261183	ENSG00000261183.5	12	24	24	39	41	38,1442945472723	4,83286206468725	0,518662244782281	9,3179368911187	1,18624392731542e-20	3,34231611394849e-19	ENSG00000261183.5	SPINT1-AS1	Up
BOP1	23246	ENSG00000261236	ENSG00000261236.8	12	11	1651	1405	1137	63,7352317936215	-1,15064533288159	0,370592743699442	-3,10487820510265	0,00190357390877889	0,00611978942589032	ENSG00000261236.8	BOP1	Down
EIF4BP5	100421528	ENSG00000261336	ENSG00000261336.1	34	0	3	0	0	29,6006839179573	9,70400520547114	2,47847647667988	3,91531059373638	9,0287901331833e-05	0,000400373206029651	ENSG00000261336.1	EIF4BP5	Up
PECAM1	5175	ENSG00000261371	ENSG00000261371.6	457	726	75285	72251	86967	3303,90553968618	-1,32434657287776	0,286952033788133	-4,61521932914953	3,92680394899774e-06	2,30026046689721e-05	ENSG00000261371.6	PECAM1	Down
LINC01003	100128822	ENSG00000261455	ENSG00000261455.1	22	36	260	336	284	70,4233255833046	2,48199647212121	0,435099382612081	5,70443574803706	1,16729113966926e-08	1,01926989929366e-07	ENSG00000261455.1	LINC01003	Up
