	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
AGBL1	0	0	0.280929489247682	0.364585050880636	0	0	0.498644399360585	0	0	0.300907847661597
AGBL1-AS1	0	0	0	0	0	0	0	0	0	0
AGBL2	1.34089072316911	1.17911355408656	1.2768381062916	0	1.54392258419554	0.329054614798674	0.618098971412405	2.5757648666443	1.31445173519069	0.745985842287814
AGBL3	1.39316218412747	0.758381937131508	1.56781492295487	1.35645397471479	3.13482692937981	1.23457400639191	0.463806850999619	1.61066086900811	2.6302226592037	1.11954026912935
AGBL4	0.150731995963922	0	0.169628400290678	0	0	0	0.451630685001895	0.941026037034295	0.32014653802641	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0
AGBL5	6.31596450549715	6.64322288332252	5.54164392636167	17.8232609002061	4.61859960281105	8.19628144436629	1.92449554812846	8.01982894026729	7.27580426681864	2.3226805072482
AGBL5-AS1	0	0	0	0	0	0	0	0	0	0
AGBL5-IT1	3.33655722039312	0	3.75484222944321	0	5.87563944413962	0	0	0	0	0
AGER	701.822701593173	144.657547369597	131.889964285768	551.706439431003	187.425111276019	249.545663611617	125.761842332325	380.014279990087	26.6287861643634	19.7120017988631
AGFG1	35.737244756631	29.7258706931656	17.8895814362561	10.1019512215201	25.8569739683685	32.9058145048806	39.9950684076777	63.8897551629672	82.9917646255507	39.4937918242429
AGFG2	6.49342560196245	9.08938788619999	12.4110982493707	21.6765646653711	8.98452411995488	6.57629470727585	4.32353865897203	8.57962381617806	6.12963635846592	4.47265213041453
AGGF1	44.506437549131	28.8160771030514	25.6753753680041	11.8182939506053	33.1511821081933	37.2888456092761	22.898896353069	43.9704015566443	31.5097486107138	8.12845861141512
AGGF1P1	0	0	0	0	0.240212466421048	0	0	0	0	0
AGGF1P2	0	0	0.302205962911028	0	0	0	0	0	1.14073106426884	0
AGGF1P3	0.932475595806487	0.761403794259402	0	0	1.23155921572341	0	0	1.94049447153211	5.94158191595263	3.37200360532901
AGGF1P4	0	0	0	0	0	0	0	0	0	0
AGK	6.55583431412758	4.92140036822374	6.84222325487724	5.55947042717077	7.02926305286676	7.42124744595772	3.16821226535871	8.36170441907087	13.0258967970749	3.44135396460473
AGKP1	0	0	1.51174764344566	0	0.788535934902348	0	0	0	0	0
AGL	4.99195100130902	9.05806352763668	11.5476243922781	3.64531415713165	12.5756836135235	16.5888787508379	4.5702345547133	8.94549633603309	11.7807018332729	14.541739711249
AGMAT	0.365458125270846	0.895233734187388	1.43945728763631	4.80368781578722	0.8044595200175	0.582942311127991	0	0.760523358309677	0	0
AGMO	0	0.257408807814006	0	0	0.138784961786743	0	0	0	0	1.1399778074872
AGPAT1	36.8321372202762	31.6172236848618	17.3592218962653	39.9995361263551	26.7482230664989	44.188746968778	26.4105278283101	17.6880418695096	36.7745280195546	11.3839142033512
AGPAT2	38.8967535785677	40.3311267439587	50.0263041136735	24.3462016209521	26.6376219450336	52.1959290425109	25.8987517705017	16.702869717025	76.057870108248	13.3959837552317
AGPAT3	30.814589296208	17.4742016214162	18.5533111719638	26.1573121218296	19.9750271041877	26.6638712493127	16.2365540361347	21.2159153171334	26.725619823384	7.3069661560544
AGPAT4	3.49176226053349	2.33277070705954	4.01881135270864	2.43391792439089	3.49372372757197	4.30386721391977	0.237777075721197	3.4680569475435	4.04526141250293	0.860921989741967
AGPAT5	7.34593687578374	7.9976701942879	6.12359613108362	0.794708883357998	7.0270235686968	13.8874133645244	2.71731611630389	4.90693670968407	18.1064532077387	15.0858769379529
AGPAT5P1	0	0	0	0	0	0	0	0	0	0
AGPS	21.7911117582048	22.4373223190826	18.1225232755296	8.95964672835341	22.000286233934	24.8715465829173	15.700621815867	22.0753720790261	28.7742643913129	22.1843545668561
AGR2	17.3919855835072	49.119635296016	94.4076558376107	19.7228113468977	59.0922667395778	15.0132953754146	44.1408537515021	8.51599057152116	35.6358771618514	41.4351412631673
AGR3	25.5059976934475	8.81128432506783	13.799777924775	0	13.3883553595974	4.69437932248343	26.4538854659913	2.04147423587897	6.25077091418086	3.54747647290901
AGRN	23.5972823656378	31.4984563232276	26.910400505551	54.3429925101028	18.9262913430304	37.7238594844117	5.35392837322941	8.09323783819651	45.0962441699411	3.04078830834613
AGRP	0.740244043006066	1.20887801366054	1.66608837144142	0	1.95534205323625	0	0	6.16183192138338	3.14447594417563	0
